,Date,SPY
0,2012-05-31,108.69297790527344
1,2012-06-01,105.9564208984375
2,2012-06-04,105.90679168701172
3,2012-06-05,106.70875549316406
4,2012-06-06,109.1063461303711
5,2012-06-07,109.17243957519531
6,2012-06-08,110.0405502319336
7,2012-06-11,108.64335632324219
8,2012-06-12,109.8917236328125
9,2012-06-13,109.18902587890625
10,2012-06-14,110.3464584350586
11,2012-06-15,111.47501373291016
12,2012-06-18,111.69107818603516
13,2012-06-19,112.77140045166016
14,2012-06-20,112.58856964111328
15,2012-06-21,110.06224060058594
16,2012-06-22,110.90990447998047
17,2012-06-25,109.13147735595703
18,2012-06-26,109.68000030517578
19,2012-06-27,110.66890716552734
20,2012-06-28,110.35310363769531
21,2012-06-29,113.10384368896484
22,2012-07-02,113.44453430175781
23,2012-07-03,114.19249725341797
24,2012-07-05,113.67726135253906
25,2012-07-06,112.59687042236328
26,2012-07-09,112.45565032958984
27,2012-07-10,111.47501373291016
28,2012-07-11,111.49163055419922
29,2012-07-12,110.95146942138672
30,2012-07-13,112.81297302246094
31,2012-07-16,112.54703521728516
32,2012-07-17,113.3199462890625
33,2012-07-18,114.15924835205078
34,2012-07-19,114.45841217041016
35,2012-07-20,113.41131591796875
36,2012-07-23,112.2645034790039
37,2012-07-24,111.30049133300781
38,2012-07-25,111.32543182373047
39,2012-07-26,113.1620101928711
40,2012-07-27,115.24788665771484
41,2012-07-30,115.24788665771484
42,2012-07-31,114.44184112548828
43,2012-08-01,114.34204864501953
44,2012-08-02,113.55255126953125
45,2012-08-03,115.80471801757812
46,2012-08-06,116.02910614013672
47,2012-08-07,116.61080169677734
48,2012-08-08,116.75209045410156
49,2012-08-09,116.85181427001953
50,2012-08-10,117.04293823242188
51,2012-08-13,116.98481750488281
52,2012-08-14,117.00137329101562
53,2012-08-15,117.13433074951172
54,2012-08-16,117.99860382080078
55,2012-08-17,118.1565170288086
56,2012-08-20,118.16485595703125
57,2012-08-21,117.80745697021484
58,2012-08-22,117.85736846923828
59,2012-08-23,116.89337158203125
60,2012-08-24,117.5997085571289
61,2012-08-27,117.62464904785156
62,2012-08-28,117.50833129882812
63,2012-08-29,117.5997085571289
64,2012-08-30,116.75209045410156
65,2012-08-31,117.30888366699219
66,2012-09-04,117.20082092285156
67,2012-09-05,117.10114288330078
68,2012-09-06,119.47785186767578
69,2012-09-07,119.94325256347656
70,2012-09-10,119.2618179321289
71,2012-09-11,119.59422302246094
72,2012-09-12,119.9931411743164
73,2012-09-13,121.82138061523438
74,2012-09-14,122.36155700683594
75,2012-09-17,121.94603729248047
76,2012-09-18,121.8463363647461
77,2012-09-19,121.91279602050781
78,2012-09-20,121.92108917236328
79,2012-09-21,121.87010955810547
80,2012-09-24,121.68633270263672
81,2012-09-25,120.39141845703125
82,2012-09-26,119.71464538574219
83,2012-09-27,120.842529296875
84,2012-09-28,120.28276824951172
85,2012-10-01,120.60028076171875
86,2012-10-02,120.72555541992188
87,2012-10-03,121.21847534179688
88,2012-10-04,122.08737182617188
89,2012-10-05,122.09573364257812
90,2012-10-08,121.67800903320312
91,2012-10-09,120.47488403320312
92,2012-10-10,119.70628356933594
93,2012-10-11,119.77314758300781
94,2012-10-12,119.38043975830078
95,2012-10-15,120.37464904785156
96,2012-10-16,121.59447479248047
97,2012-10-17,122.14582824707031
98,2012-10-18,121.82841491699219
99,2012-10-19,119.79815673828125
100,2012-10-22,119.8149185180664
101,2012-10-23,118.15230560302734
102,2012-10-24,117.818115234375
103,2012-10-25,118.16068267822266
104,2012-10-26,118.09383392333984
105,2012-10-31,118.09383392333984
106,2012-11-01,119.330322265625
107,2012-11-02,118.26929473876953
108,2012-11-05,118.51158905029297
109,2012-11-06,119.43893432617188
110,2012-11-07,116.73200225830078
111,2012-11-08,115.32840728759766
112,2012-11-09,115.42869567871094
113,2012-11-12,115.52057647705078
114,2012-11-13,115.11953735351562
115,2012-11-14,113.56558227539062
116,2012-11-15,113.37340545654297
117,2012-11-16,113.93315887451172
118,2012-11-19,116.23908996582031
119,2012-11-20,116.28923797607422
120,2012-11-21,116.50640106201172
121,2012-11-23,118.09383392333984
122,2012-11-26,117.84315490722656
123,2012-11-27,117.24160766601562
124,2012-11-28,118.18575286865234
125,2012-11-29,118.73714447021484
126,2012-11-30,118.76220703125
127,2012-12-03,118.17737579345703
128,2012-12-04,118.0102767944336
129,2012-12-05,118.21918487548828
130,2012-12-06,118.62020111083984
131,2012-12-07,118.97940826416016
132,2012-12-10,119.02957153320312
133,2012-12-11,119.83998107910156
134,2012-12-12,119.89842987060547
135,2012-12-13,119.16323852539062
136,2012-12-14,118.720458984375
137,2012-12-17,120.11566162109375
138,2012-12-18,121.452392578125
139,2012-12-19,120.55007934570312
140,2012-12-20,121.24354553222656
141,2012-12-21,120.14297485351562
142,2012-12-24,119.7728042602539
143,2012-12-26,119.26797485351562
144,2012-12-27,119.10810852050781
145,2012-12-28,117.82072448730469
146,2012-12-31,119.82325744628906
147,2013-01-02,122.89436340332031
148,2013-01-03,122.6167221069336
149,2013-01-04,123.15522003173828
150,2013-01-07,122.81863403320312
151,2013-01-08,122.46524810791016
152,2013-01-09,122.77661895751953
153,2013-01-10,123.7525634765625
154,2013-01-11,123.74421691894531
155,2013-01-14,123.66004180908203
156,2013-01-15,123.74421691894531
157,2013-01-16,123.72733306884766
158,2013-01-17,124.52669525146484
159,2013-01-18,124.8043212890625
160,2013-01-22,125.47747039794922
161,2013-01-23,125.67940521240234
162,2013-01-24,125.71307373046875
163,2013-01-25,126.41984558105469
